as_of,kr_mom,us_mom,kr_breadth,us_breadth,rel_strength,risk_score,macro_score,composite,signal,cost,kr_return,us_return,kr_return_usd,fx_return,blend_return,blend_return_usd,strategy_return,strategy_return_usd
2010-07-30,0.0625,0.0194,,,0.0404,0.4705,-0.414,0.2766,KR,0.0,-0.0094,-0.0474,-0.0169,0.0076,-0.0284,-0.0322,-0.0094,-0.0169
2010-08-31,0.0695,-0.0281,,,0.0972,-0.1377,-0.412,0.3085,KR,0.0,0.0746,0.0876,0.1255,-0.0452,0.0811,0.1065,0.0746,0.1255
2010-09-30,0.115,0.0667,,,0.0335,0.2069,-0.412,0.2398,KR,0.0,0.0054,0.0369,0.0115,-0.006,0.0211,0.0242,0.0054,0.0115
2010-10-29,0.0742,0.0404,0.875,0.8889,0.0244,0.3677,-0.412,0.1861,KR,0.0,0.0115,-0.0023,-0.0151,0.027,0.0046,-0.0087,0.0115,-0.0151
2010-11-30,0.1004,0.0783,0.875,0.8889,0.0201,0.0878,-0.462,0.0691,Neutral,0.003,0.0768,0.0653,0.0993,-0.0309,0.0711,0.0823,0.0681,0.0793
2010-12-31,0.1187,0.1393,1.0,1.0,-0.0028,0.4837,-0.464,-0.1689,US,0.003,-0.0002,0.0226,0.0043,-0.0086,0.0112,0.0135,0.0196,0.0196
2011-01-31,0.0843,0.0949,0.875,1.0,0.0026,0.3551,-0.288,-0.1569,US,0.0,-0.063,0.032,-0.0711,0.0087,-0.0155,-0.0196,0.032,0.032
2011-02-28,0.0019,0.1379,0.875,1.0,-0.1138,0.4977,-0.2936,-0.5262,US,0.0,0.0863,-0.001,0.1148,-0.0256,0.0426,0.0569,-0.001,-0.001
2011-03-31,0.062,0.0796,0.875,1.0,0.0079,0.4155,-0.2916,-0.1718,US,0.0,0.0407,0.0285,0.0694,-0.0269,0.0346,0.0489,0.0285,0.0285
2011-04-29,0.0845,0.0946,0.8182,1.0,0.0027,0.6652,-0.2426,-0.121,US,0.0,-0.0228,-0.0135,-0.0287,0.0061,-0.0181,-0.0211,-0.0135,-0.0135
2011-05-31,0.0538,0.0579,0.5455,1.0,0.0225,0.321,-0.2242,-0.116,US,0.0,-0.0195,-0.0183,-0.0136,-0.006,-0.0189,-0.0159,-0.0183,-0.0183
2011-06-30,0.0249,0.0241,0.7273,0.8889,-0.0025,0.3495,-0.2584,-0.1148,US,0.0,0.0155,-0.0215,0.0347,-0.0186,-0.003,0.0066,-0.0215,-0.0215
2011-07-29,0.0231,-0.0072,0.7273,0.7778,0.0183,-0.253,-0.274,0.0714,Neutral,0.003,-0.1186,-0.0568,-0.1374,0.0217,-0.0877,-0.0971,-0.0907,-0.1001
2011-08-31,-0.0595,-0.0615,0.2727,0.3333,-0.0131,-0.5827,-0.272,-0.2265,US,0.003,-0.0588,-0.0718,-0.1429,0.0982,-0.0653,-0.1073,-0.0748,-0.0748
2011-09-30,-0.115,-0.113,0.1818,0.1111,0.0023,-0.6248,-0.2078,-0.1,US,0.0,0.0788,0.1077,0.1501,-0.062,0.0932,0.1289,0.1077,0.1077
2011-10-31,-0.0509,0.0074,0.3636,0.5556,-0.0507,0.309,-0.2147,-0.4809,US,0.0,-0.0322,-0.0051,-0.063,0.0329,-0.0186,-0.034,-0.0051,-0.0051
2011-11-30,-0.0702,-0.0139,0.1818,0.5556,-0.032,0.3085,-0.2595,-0.4893,US,0.0,-0.0118,0.0085,-0.025,0.0132,-0.0016,-0.0082,0.0085,0.0085
2011-12-30,-0.0606,0.032,0.1818,0.5556,-0.0747,0.2396,-0.2851,-0.5995,US,0.0,0.0709,0.0436,0.1029,-0.0257,0.0572,0.0733,0.0436,0.0436
2012-01-31,-0.015,0.0406,0.1818,1.0,-0.0298,0.6048,-0.2338,-0.439,US,0.0,0.0381,0.0406,0.0391,-0.001,0.0393,0.0398,0.0406,0.0406
2012-02-29,0.0509,0.0963,0.4545,1.0,-0.024,0.4884,-0.219,-0.4133,US,0.0,-0.008,0.0313,-0.0197,0.0119,0.0117,0.0058,0.0313,0.0313
2012-03-30,0.0541,0.1246,0.6364,1.0,-0.0527,0.4744,-0.2133,-0.5083,US,0.0,-0.0159,-0.0075,-0.0104,-0.0055,-0.0117,-0.009,-0.0075,-0.0075
2012-04-30,-0.0434,0.0459,0.2727,1.0,-0.0374,0.1142,-0.226,-0.5679,US,0.0,-0.0699,-0.0627,-0.1077,0.0424,-0.0663,-0.0852,-0.0627,-0.0627
2012-05-31,-0.0851,-0.0134,0.1818,0.7778,-0.0372,-0.2772,-0.2594,-0.6182,US,0.0,0.0057,0.0396,0.0254,-0.0192,0.0226,0.0325,0.0396,0.0396
2012-06-29,-0.0225,0.0286,0.1818,0.8889,-0.0445,0.433,-0.2421,-0.4832,US,0.0,0.0151,0.0126,0.0334,-0.0177,0.0138,0.023,0.0126,0.0126
2012-07-31,-0.0308,0.0199,0.2727,0.8889,-0.0411,0.1313,-0.1932,-0.5098,US,0.0,0.0123,0.0198,0.015,-0.0026,0.016,0.0174,0.0198,0.0198
2012-08-31,0.0096,0.041,0.3636,1.0,-0.0464,0.1375,-0.1633,-0.4461,US,0.0,0.0478,0.0242,0.0649,-0.0161,0.036,0.0446,0.0242,0.0242
2012-09-28,0.0426,0.0475,0.7273,1.0,-0.0032,0.4412,-0.1999,-0.1548,US,0.0,-0.0422,-0.0198,-0.0201,-0.0225,-0.031,-0.0199,-0.0198,-0.0198
2012-10-31,-0.0038,0.0148,0.3636,0.8889,-0.0252,0.0856,-0.1683,-0.3541,US,0.0,0.0109,0.0028,0.0186,-0.0075,0.0069,0.0107,0.0028,0.0028
2012-11-30,0.0173,0.0389,0.3636,0.7778,-0.0032,0.2979,-0.1617,-0.2724,US,0.0,0.0332,0.0071,0.0433,-0.0407,0.0201,0.0252,0.0071,0.0071
2012-12-31,0.0265,0.024,0.4545,0.7778,0.0396,0.0854,-0.1504,-0.0497,Neutral,0.003,-0.0341,0.0504,-0.0544,0.0456,0.0082,-0.002,0.0052,-0.005
2013-01-31,0.0155,0.0765,0.5455,1.0,-0.0547,0.5028,-0.5027,-0.5688,US,0.003,0.0329,0.0111,0.0343,-0.0014,0.022,0.0227,0.0081,0.0081
2013-02-28,0.0325,0.0657,0.6364,1.0,0.001,0.1841,-0.4833,-0.4067,US,0.0,-0.0107,0.036,-0.0357,0.0259,0.0127,0.0002,0.036,0.036
2013-03-29,-0.0184,0.0933,0.5455,1.0,-0.0878,0.5892,-0.5026,-0.6186,US,0.0,-0.0204,0.0227,-0.0126,-0.0079,0.0011,0.005,0.0227,0.0227
2013-04-30,-0.0279,0.0804,0.4545,1.0,-0.0633,0.3424,-0.5145,-0.6461,US,0.0,0.0189,0.0208,-0.0032,0.0221,0.0198,0.0088,0.0208,0.0208
2013-05-31,-0.0034,0.0814,0.5455,1.0,-0.0691,0.0377,-0.4824,-0.6745,US,0.0,-0.0688,-0.015,-0.0847,0.0174,-0.0419,-0.0499,-0.015,-0.015
