as_of,signal,n_pairs,mean_rs,fx_tilt,agg,cost,kr_return,us_return,blend_return,strategy_return
2010-02-26,Neutral,5,-0.03528,0.0,0.0,0.0,0.0616,0.0588,0.0602,0.0602
2010-03-31,Neutral,5,-0.00024,0.0,0.0,0.0,0.0288,0.0148,0.0218,0.0218
2010-04-30,US,5,-0.00013,-0.8952,-0.89523,0.003,-0.0576,-0.082,-0.0698,-0.085
2010-05-31,KR,5,0.04946,0.8033,0.8033,0.003,0.0348,-0.0374,-0.0013,0.0318
2010-06-30,KR,5,0.13253,0.9935,0.99351,0.0,0.0359,0.0688,0.0524,0.0359
2010-07-30,KR,5,0.04682,0.9798,0.9798,0.0,-0.0094,-0.0474,-0.0284,-0.0094
2010-08-31,US,7,0.10454,-0.1894,-0.18935,0.003,0.0746,0.0876,0.0811,0.0846
2010-09-30,US,7,0.01863,-0.9834,-0.98336,0.0,0.0054,0.0369,0.0211,0.0369
2010-10-29,US,7,0.00181,-0.8978,-0.8978,0.0,0.0115,-0.0023,0.0046,-0.0023
2010-11-30,US,7,-0.00498,-0.7206,-0.7206,0.0,0.0768,0.0653,0.0711,0.0653
2010-12-31,US,7,-0.0267,-0.34,-0.33996,0.0,-0.0002,0.0226,0.0112,0.0226
2011-01-31,US,7,-0.04028,-0.4149,-0.41492,0.0,-0.063,0.032,-0.0155,0.032
2011-02-28,US,7,-0.14823,-0.3851,-0.38514,0.0,0.0863,-0.001,0.0426,-0.001
2011-03-31,US,7,-0.02862,-0.692,-0.69198,0.0,0.0407,0.0285,0.0346,0.0285
2011-04-29,US,7,-0.01911,-0.8512,-0.85116,0.0,-0.0228,-0.0135,-0.0181,-0.0135
2011-05-31,US,7,-0.00615,-0.9108,-0.91076,0.0,-0.0195,-0.0183,-0.0189,-0.0183
2011-06-30,US,7,-0.01166,-0.8404,-0.84044,0.0,0.0155,-0.0215,-0.003,-0.0215
2011-07-29,US,7,0.0397,-0.5494,-0.5494,0.0,-0.1186,-0.0568,-0.0877,-0.0568
2011-08-31,US,7,0.00098,-0.1081,-0.10807,0.0,-0.0588,-0.0718,-0.0653,-0.0718
2011-09-30,KR,7,0.01493,0.9976,0.99764,0.003,0.0788,0.1077,0.0932,0.0758
2011-10-31,KR,7,-0.05433,0.9411,0.94111,0.0,-0.0322,-0.0051,-0.0186,-0.0322
2011-11-30,KR,7,-0.05234,0.9714,0.97143,0.0,-0.0118,0.0085,-0.0016,-0.0118
2011-12-30,US,7,-0.08516,-0.5453,-0.54534,0.003,0.0709,0.0436,0.0572,0.0406
2012-01-31,KR,7,-0.05787,0.5752,0.57516,0.003,0.0381,0.0406,0.0393,0.0351
2012-02-29,US,7,-0.07095,-0.1001,-0.10014,0.003,-0.008,0.0313,0.0117,0.0283
2012-03-30,US,7,-0.08004,-0.4637,-0.46368,0.0,-0.0159,-0.0075,-0.0117,-0.0075
2012-04-30,KR,7,-0.09935,0.3743,0.37427,0.003,-0.0699,-0.0627,-0.0663,-0.0729
2012-05-31,KR,7,-0.05995,0.9265,0.92651,0.0,0.0057,0.0396,0.0226,0.0057
2012-06-29,KR,7,-0.0372,0.5463,0.54634,0.0,0.0151,0.0126,0.0138,0.0151
2012-07-31,KR,7,-0.0384,0.1433,0.14333,0.0,0.0123,0.0198,0.016,0.0123
2012-08-31,US,7,-0.02582,-0.8624,-0.86239,0.003,0.0478,0.0242,0.036,0.0212
2012-09-28,US,7,0.00249,-0.8097,-0.80969,0.0,-0.0422,-0.0198,-0.031,-0.0198
2012-10-31,US,7,0.00859,-0.8759,-0.87589,0.0,0.0109,0.0028,0.0069,0.0028
2012-11-30,US,7,-0.00463,-0.9097,-0.90966,0.0,0.0332,0.0071,0.0201,0.0071
2012-12-31,US,7,0.00299,-0.9805,-0.98049,0.0,-0.0341,0.0504,0.0082,0.0504
2013-01-31,US,7,-0.05549,-0.1487,-0.1487,0.0,0.0329,0.0111,0.022,0.0111
2013-02-28,US,7,-0.0191,-0.0552,-0.05521,0.0,-0.0107,0.036,0.0127,0.036
2013-03-29,KR,7,-0.09122,0.8501,0.85015,0.003,-0.0204,0.0227,0.0011,-0.0234
2013-04-30,KR,7,-0.08576,0.548,0.54796,0.0,0.0189,0.0208,0.0198,0.0189
2013-05-31,KR,7,-0.09307,0.8726,0.87261,0.0,-0.0688,-0.015,-0.0419,-0.0688
2013-06-28,KR,7,-0.12211,0.8011,0.80108,0.0,0.0272,0.0495,0.0383,0.0272
2013-07-31,KR,7,-0.07306,0.296,0.29604,0.0,0.0064,-0.0313,-0.0124,0.0064
2013-08-30,US,7,-0.05172,-0.5166,-0.51662,0.003,0.0366,0.0297,0.0332,0.0267
2013-09-30,US,7,-0.01369,-0.9689,-0.96894,0.0,0.0166,0.0446,0.0306,0.0446
2013-10-31,US,7,-0.04139,-0.9288,-0.92882,0.0,0.0073,0.028,0.0177,0.028
2013-11-29,US,7,-0.05138,-0.9232,-0.92315,0.0,-0.0164,0.0236,0.0036,0.0236
2013-12-31,US,7,-0.06322,-0.5825,-0.58246,0.0,-0.0132,-0.0356,-0.0244,-0.0356
2014-01-31,KR,7,-0.02381,0.5815,0.58145,0.003,0.0313,0.0431,0.0372,0.0283
2014-02-28,KR,7,-0.03894,0.2699,0.2699,0.0,0.0028,0.0069,0.0049,0.0028
2014-03-31,KR,7,-0.05997,0.369,0.36903,0.0,-0.012,0.0062,-0.0029,-0.012
2014-04-30,US,7,-0.06617,-0.8445,-0.84447,0.003,0.0169,0.021,0.019,0.018
2014-05-30,US,7,-0.06138,-0.9161,-0.91615,0.0,0.0036,0.0191,0.0113,0.0191
2014-06-30,US,7,-0.03695,-0.937,-0.93696,0.0,0.0369,-0.0151,0.0109,-0.0151
2014-07-31,US,7,0.00738,-0.1869,-0.18688,0.0,-0.0037,0.0377,0.017,0.0377
2014-08-29,US,7,-0.0174,-0.2153,-0.21534,0.0,-0.0234,-0.0155,-0.0195,-0.0155
2014-09-30,KR,7,-0.00402,0.8564,0.85639,0.003,-0.0276,0.0232,-0.0022,-0.0306
2014-10-31,KR,7,-0.06655,0.7546,0.75456,0.0,0.0083,0.0245,0.0164,0.0083
2014-11-28,KR,7,-0.05516,0.993,0.993,0.0,-0.0329,-0.0042,-0.0185,-0.0329
2014-12-31,KR,7,-0.08251,0.8776,0.87764,0.0,0.0118,-0.031,-0.0096,0.0118
2015-01-30,KR,7,-0.00027,0.895,0.895,0.0,0.0187,0.0549,0.0368,0.0187
2015-02-27,KR,7,-0.04338,-0.0553,-0.05527,0.0,0.0278,-0.0174,0.0052,0.0278
2015-03-31,KR,7,0.03645,0.3008,0.30082,0.0,0.0422,0.0085,0.0254,0.0422
2015-04-30,US,7,0.07644,-0.7187,-0.71869,0.003,-0.0058,0.0105,0.0023,0.0075
2015-05-29,KR,7,0.07802,0.1894,0.18939,0.003,-0.0192,-0.021,-0.0201,-0.0222
2015-06-30,KR,7,0.09884,0.4613,0.46126,0.0,-0.0212,0.0197,-0.0007,-0.0212
2015-07-31,KR,7,-0.00823,0.9965,0.99651,0.0,-0.0437,-0.0626,-0.0531,-0.0437
2015-08-31,KR,7,0.03908,0.9719,0.97192,0.0,0.011,-0.0264,-0.0077,0.011
2015-09-30,KR,7,0.04594,0.9786,0.97861,0.0,0.034,0.083,0.0585,0.034
2015-10-30,US,7,-0.00893,-0.5232,-0.52318,0.003,-0.0185,0.0005,-0.009,-0.0025
2015-11-30,US,7,-0.00124,-0.4527,-0.45267,0.0,-0.0154,-0.0175,-0.0165,-0.0175
2015-12-31,US,7,-0.01616,-0.4797,-0.47966,0.0,-0.0035,-0.0507,-0.0271,-0.0507
2016-01-29,KR,7,0.05742,0.9476,0.94763,0.003,0.0024,-0.0041,-0.0009,-0.0006
2016-02-29,KR,7,0.0188,0.9917,0.9917,0.0,0.0413,0.066,0.0537,0.0413
2016-03-31,US,7,-0.01924,-0.761,-0.76096,0.003,-0.0009,0.0027,0.0009,-0.0003
2016-04-29,US,7,-0.03014,-0.9626,-0.96262,0.0,-0.0054,0.0153,0.005,0.0153
2016-05-31,US,7,-0.03054,-0.8165,-0.81651,0.0,-0.0066,0.0009,-0.0028,0.0009
2016-06-30,US,7,-0.03435,-0.1128,-0.11283,0.0,0.0233,0.0356,0.0294,0.0356
2016-07-29,US,7,-0.07056,-0.3032,-0.30321,0.0,0.0092,-0.0012,0.004,-0.0012
2016-08-31,US,7,-0.04391,-0.977,-0.97701,0.0,0.0044,-0.0012,0.0016,-0.0012
2016-09-30,US,7,-0.03139,-0.898,-0.89802,0.0,-0.0173,-0.0194,-0.0184,-0.0194
2016-10-31,KR,7,-0.05085,0.5998,0.59982,0.003,-0.0123,0.0342,0.0109,-0.0153
2016-11-30,KR,7,-0.10498,0.9008,0.90077,0.0,0.0217,0.0182,0.0199,0.0217
2016-12-30,KR,7,-0.07674,0.9962,0.99624,0.0,0.0204,0.0179,0.0192,0.0204
2017-01-31,KR,7,-0.0796,0.5746,0.57459,0.0,0.0116,0.0372,0.0244,0.0116
2017-02-28,US,7,-0.06041,-0.8011,-0.80112,0.003,0.0328,-0.0004,0.0162,-0.0034
2017-03-31,US,7,-0.03395,-0.985,-0.98496,0.0,0.0209,0.0091,0.015,0.0091
2017-04-28,US,7,-0.02197,-0.821,-0.82095,0.0,0.0644,0.0116,0.038,0.0116
2017-05-31,US,7,0.08354,-0.2869,-0.28686,0.0,0.0189,0.0048,0.0119,0.0048
2017-06-30,KR,7,0.04867,0.7957,0.79572,0.003,0.0046,0.0193,0.012,0.0016
2017-07-31,US,7,0.03882,-0.172,-0.17203,0.003,-0.0164,0.0005,-0.008,-0.0025
2017-08-31,US,7,0.01953,-0.0169,-0.0169,0.0,0.0132,0.0193,0.0163,0.0193
2017-09-29,KR,7,-0.02064,0.2368,0.23684,0.003,0.0539,0.0222,0.038,0.0509
2017-10-31,KR,7,0.03109,-0.0178,-0.01779,0.0,-0.0186,0.0281,0.0047,-0.0186
2017-11-30,US,7,-0.04048,-0.8589,-0.85894,0.003,-0.0036,0.0098,0.0031,0.0068
2017-12-29,US,7,-0.03795,-0.9769,-0.97686,0.0,0.035,0.0562,0.0456,0.0562
2018-01-31,US,7,-0.03793,-0.907,-0.90703,0.0,-0.0542,-0.0389,-0.0466,-0.0389
2018-02-28,US,7,-0.05062,-0.3152,-0.31518,0.0,0.0076,-0.0269,-0.0096,-0.0269
2018-03-30,US,7,0.00321,-0.2293,-0.22929,0.0,0.0284,0.0256,0.027,0.0256
2018-04-30,US,7,-0.01837,-0.0681,-0.06813,0.0,-0.0367,0.0216,-0.0076,0.0216
2018-05-31,US,7,-0.06409,-0.1338,-0.13384,0.0,-0.04,0.0048,-0.0176,0.0048
2018-06-29,KR,7,-0.08853,0.9458,0.94584,0.003,-0.0133,0.036,0.0114,-0.0163
2018-07-31,KR,8,-0.09903,0.9108,0.91078,0.0,0.012,0.0303,0.0211,0.012
2018-08-31,KR,8,-0.07523,0.8492,0.84921,0.0,0.0087,0.0043,0.0065,0.0087
2018-09-28,US,8,-0.05018,-0.3012,-0.3012,0.003,-0.1337,-0.0694,-0.1016,-0.0724
2018-10-31,KR,8,-0.11064,0.5565,0.55651,0.003,0.0331,0.0179,0.0255,0.0301
2018-11-30,KR,8,-0.0204,0.2522,0.25216,0.0,-0.0266,-0.0918,-0.0592,-0.0266
2018-12-31,KR,8,0.05207,0.119,0.119,0.0,0.0969,0.0787,0.0878,0.0969
2019-01-31,US,8,0.02207,-0.6863,-0.68627,0.003,-0.0043,0.0297,0.0127,0.0267
2019-02-28,US,8,0.00705,-0.4221,-0.42214,0.0,-0.0249,0.0179,-0.0035,0.0179
2019-03-29,KR,8,-0.07311,0.4122,0.41219,0.003,0.0294,0.0393,0.0344,0.0264
2019-04-30,KR,8,-0.0318,0.8397,0.83971,0.0,-0.0734,-0.0658,-0.0696,-0.0734
2019-05-31,KR,8,-0.03373,0.9753,0.97529,0.0,0.0435,0.0689,0.0562,0.0435
2019-06-28,KR,8,-0.08479,0.4606,0.46056,0.0,-0.0498,0.0131,-0.0183,-0.0498
2019-07-31,KR,8,-0.11539,0.5572,0.55724,0.0,-0.028,-0.0181,-0.0231,-0.028
2019-08-30,KR,8,-0.08234,0.3952,0.39524,0.0,0.0484,0.0172,0.0328,0.0484
2019-09-30,KR,8,-0.0509,0.8713,0.87131,0.0,0.0099,0.0204,0.0152,0.0099
2019-10-31,US,8,-0.02712,-0.4451,-0.44508,0.003,0.0022,0.034,0.0181,0.031
2019-11-29,US,8,-0.04545,-0.7377,-0.73773,0.0,0.0525,0.0256,0.0391,0.0256
2019-12-31,US,8,-0.03143,-0.8156,-0.81558,0.0,-0.0258,-0.0099,-0.0179,-0.0099
2020-01-31,KR,8,-0.04986,0.7142,0.7142,0.003,-0.0623,-0.0841,-0.0732,-0.0653
2020-02-28,KR,8,-0.01058,0.6072,0.60719,0.0,-0.1169,-0.1251,-0.121,-0.1169
2020-03-31,KR,8,0.03494,0.9295,0.92951,0.0,0.1099,0.1268,0.1184,0.1099
2020-04-30,KR,8,0.02752,0.6107,0.61073,0.0,0.0708,0.0453,0.0581,0.0708
2020-05-29,KR,8,0.0328,0.7009,0.70088,0.0,0.0388,0.0184,0.0286,0.0388
2020-06-30,US,8,0.03938,-0.5907,-0.59074,0.003,0.0669,0.0551,0.061,0.0521
2020-07-31,US,8,0.05062,-0.4867,-0.48673,0.0,0.0341,0.0701,0.0521,0.0701
2020-08-31,US,8,0.05045,-0.8271,-0.82707,0.0,0.0007,-0.0392,-0.0192,-0.0392
2020-09-30,US,8,0.06127,-0.7454,-0.7454,0.0,-0.0385,-0.0277,-0.0331,-0.0277
2020-10-30,US,8,0.046,-0.9031,-0.90309,0.0,0.143,0.1075,0.1253,0.1075
2020-11-30,US,8,0.03291,-0.9647,-0.96468,0.0,0.1089,0.0371,0.073,0.0371
2020-12-31,US,8,0.05187,-0.9799,-0.97989,0.0,0.0108,-0.0111,-0.0002,-0.0111
2021-01-29,US,8,0.08225,-0.3508,-0.3508,0.0,0.0123,0.0261,0.0192,0.0261
2021-02-26,KR,8,0.00789,0.5023,0.50228,0.003,0.0161,0.0424,0.0293,0.0131
2021-03-31,KR,8,-0.00509,0.8649,0.8649,0.0,0.0282,0.0524,0.0403,0.0282
2021-04-30,KR,8,-0.03686,-0.0143,-0.01431,0.0,0.0178,0.0055,0.0116,0.0178
2021-05-31,US,8,0.00638,-0.4726,-0.47259,0.003,0.029,0.0227,0.0258,0.0197
2021-06-30,US,8,0.00133,-0.062,-0.06202,0.0,-0.0286,0.0227,-0.0029,0.0227
2021-07-30,KR,8,-0.05922,0.7707,0.77065,0.003,-0.001,0.029,0.014,-0.004
2021-08-31,KR,8,-0.04545,0.9172,0.91717,0.0,-0.0408,-0.0476,-0.0442,-0.0408
2021-09-30,KR,8,-0.04886,0.9194,0.91936,0.0,-0.032,0.0691,0.0186,-0.032
2021-10-29,KR,8,-0.12808,0.7231,0.72313,0.0,-0.0443,-0.0083,-0.0263,-0.0443
2021-11-30,KR,8,-0.13725,0.4822,0.48225,0.0,0.0488,0.0436,0.0462,0.0488
2021-12-31,KR,8,-0.12845,0.1046,0.10461,0.0,-0.109,-0.0526,-0.0808,-0.109
2022-01-31,KR,8,-0.16626,0.6942,0.69419,0.0,-0.0032,-0.0314,-0.0173,-0.0032
2022-02-28,KR,8,-0.08,0.1575,0.15747,0.0,0.0217,0.0358,0.0287,0.0217
2022-03-31,KR,8,-0.08493,0.6264,0.62638,0.0,-0.0227,-0.088,-0.0553,-0.0227
2022-04-29,KR,8,0.04516,0.9003,0.90025,0.0,-0.0034,0.0001,-0.0017,-0.0034
2022-05-31,KR,8,0.01043,0.8244,0.82441,0.0,-0.1315,-0.0839,-0.1077,-0.1315
2022-06-30,KR,8,-0.00465,0.9719,0.97194,0.0,0.051,0.0911,0.071,0.051
2022-07-29,KR,8,-0.04326,0.7834,0.78339,0.0,0.0084,-0.0424,-0.017,0.0084
2022-08-31,KR,8,-0.0045,0.9902,0.99016,0.0,-0.1281,-0.0934,-0.1107,-0.1281
2022-09-30,KR,8,-0.03442,0.9993,0.99925,0.0,0.0641,0.0799,0.072,0.0641
2022-10-31,KR,8,-0.08756,0.9963,0.99628,0.0,0.078,0.0538,0.0659,0.078
2022-11-30,US,8,-0.0386,-0.8301,-0.83007,0.003,-0.0955,-0.059,-0.0772,-0.062
2022-12-30,US,8,-0.05322,-0.9995,-0.9995,0.0,0.0896,0.0618,0.0757,0.0618
2023-01-31,US,8,-0.01743,-0.9998,-0.99975,0.0,-0.005,-0.0261,-0.0156,-0.0261
2023-02-28,US,8,-0.02979,-0.3938,-0.39376,0.0,0.0265,0.0351,0.0308,0.0351
2023-03-31,KR,8,-0.03075,0.832,0.83201,0.003,0.01,0.0146,0.0123,0.007
2023-04-28,KR,8,-0.02425,0.9943,0.99434,0.0,0.0302,0.0025,0.0163,0.0302
2023-05-31,KR,8,0.00083,-0.0619,-0.0619,0.0,-0.005,0.0647,0.0299,-0.005
2023-06-30,KR,8,-0.08293,0.444,0.44397,0.0,0.0266,0.0311,0.0289,0.0266
2023-07-31,US,8,-0.0728,-0.9039,-0.90388,0.003,-0.029,-0.0177,-0.0234,-0.0207
2023-08-31,KR,8,-0.07117,0.1151,0.1151,0.003,-0.0357,-0.0487,-0.0422,-0.0387
2023-09-29,KR,8,-0.0284,0.6404,0.64039,0.0,-0.0531,-0.022,-0.0375,-0.0531
2023-10-31,KR,8,-0.06771,0.9594,0.95937,0.0,0.113,0.0892,0.1011,0.113
2023-11-30,US,8,-0.03558,-0.5427,-0.54271,0.003,0.0473,0.0442,0.0458,0.0412
2023-12-29,US,8,-0.00468,-0.8911,-0.89114,0.0,-0.0647,0.0159,-0.0244,0.0159
2024-01-31,US,8,-0.05106,-0.4281,-0.42808,0.0,0.0582,0.0517,0.0549,0.0517
2024-02-29,KR,8,-0.01716,0.8096,0.80959,0.003,0.0395,0.031,0.0352,0.0365
2024-03-29,KR,8,-0.05742,0.8631,0.8631,0.0,-0.0199,-0.0397,-0.0298,-0.0199
2024-04-30,KR,8,0.01378,0.8909,0.89092,0.0,-0.0206,0.048,0.0137,-0.0206
2024-05-31,KR,8,-0.05182,0.8247,0.82467,0.0,0.0612,0.0347,0.0479,0.0612
2024-06-28,KR,8,-0.0272,0.648,0.64803,0.0,-0.0097,0.0113,0.0008,-0.0097
2024-07-31,US,8,-0.03818,-0.3732,-0.37325,0.003,-0.0348,0.0228,-0.006,0.0198
2024-08-30,US,8,-0.04757,-0.7286,-0.72861,0.0,-0.0303,0.0202,-0.0051,0.0202
2024-09-30,US,8,-0.0432,-0.9118,-0.91184,0.0,-0.0143,-0.0099,-0.0121,-0.0099
2024-10-31,US,8,-0.04,0.085,0.08501,0.0,-0.0392,0.0573,0.009,0.0573
2024-11-29,KR,8,-0.13633,0.9114,0.91142,0.003,-0.023,-0.025,-0.024,-0.026
2024-12-31,KR,8,-0.08212,0.9994,0.99939,0.0,0.0494,0.027,0.0382,0.0494
2025-01-31,KR,8,-0.0574,0.9653,0.96532,0.0,0.0061,-0.0142,-0.0041,0.0061
2025-02-28,KR,8,-0.03039,0.924,0.92398,0.0,-0.0204,-0.0575,-0.039,-0.0204
2025-03-31,US,8,-0.01686,-0.1064,-0.10636,0.003,0.0304,-0.0076,0.0114,-0.0106
2025-04-30,US,8,0.03173,-0.4103,-0.41029,0.0,0.0552,0.0615,0.0583,0.0615
2025-05-30,US,8,0.06309,-0.9453,-0.94532,0.0,0.1386,0.0496,0.0941,0.0496
2025-06-30,US,8,0.12371,-0.9902,-0.99019,0.0,0.0566,0.0217,0.0391,0.0217
2025-07-31,US,8,0.1107,-0.6374,-0.63744,0.0,-0.0183,0.0191,0.0004,0.0191
2025-08-29,KR,8,0.05125,0.4031,0.40307,0.003,0.0749,0.0353,0.0551,0.0719
2025-09-30,KR,8,0.04073,0.8529,0.85286,0.0,0.1994,0.0227,0.111,0.1994
2025-10-31,KR,8,0.12499,0.7063,0.70628,0.0,-0.044,0.0013,-0.0214,-0.044
2025-11-28,KR,8,0.08489,0.9622,0.96218,0.0,0.0732,-0.0005,0.0364,0.0732
2025-12-31,KR,8,0.06462,0.6993,0.69934,0.0,0.2123,0.0137,0.113,0.2123
2026-01-30,KR,8,0.13876,0.4619,0.46192,0.0,0.1952,-0.0087,0.0933,0.1952
2026-02-27,US,8,0.23138,-0.472,-0.47202,0.003,-0.1908,-0.0509,-0.1209,-0.0539
2026-03-31,KR,8,0.05787,0.9105,0.91053,0.003,0.2644,0.082,0.1732,0.2614
