as_of,signal,ws,vix,stress,disp,low_disp,kr_ldrshp,us_ldrshp,ldr_break,kr_w,us_w,hold_w,cost,kr_return,us_return,blend_return,strategy_return,pair_0_weight,pair_0_vote,pair_0_score,pair_0_rs,pair_1_weight,pair_1_vote,pair_1_score,pair_1_rs,pair_2_weight,pair_2_vote,pair_2_score,pair_3_weight,pair_3_vote,pair_3_score,pair_4_weight,pair_4_vote,pair_4_score,pair_4_rs,pair_5_weight,pair_5_vote,pair_5_score,pair_5_rs,pair_6_weight,pair_6_vote,pair_6_score,pair_6_rs,pair_7_weight,pair_7_vote,pair_7_score,pair_2_rs,pair_3_rs,pair_7_rs
2010-02-26,US,-0.4468,19.5,False,0.03206,False,,,False,0.125,0.5,0.0,0.0,0.0616,0.0588,0.0602,0.0588,0.125,US,-0.7951,-0.05614,0.125,US,-0.7989,-0.07369,0.125,,,0.125,,,0.125,KR,0.4141,0.01065,0.125,US,-0.353,-0.00591,0.125,US,-0.701,-0.05132,0.125,,,,,
2010-03-31,US,-0.2372,17.59,False,0.0367,False,,,False,0.25,0.375,0.0,0.0,0.0288,0.0148,0.0218,0.0148,0.125,KR,0.3029,0.04164,0.125,US,-0.6262,-0.01695,0.125,,,0.125,,,0.125,KR,0.9724,0.0437,0.125,US,-0.9889,-0.04866,0.125,US,-0.8461,-0.02091,0.125,,,,,
2010-04-30,Neutral,-0.0223,22.05,False,0.04447,False,,,False,0.25,0.375,0.0,0.003,-0.0576,-0.082,-0.0698,-0.0728,0.125,KR,0.3908,0.05009,0.125,US,-0.1541,-0.01417,0.125,,,0.125,,,0.125,KR,0.8035,0.04503,0.125,US,-0.1532,-0.0106,0.125,US,-0.9985,-0.07099,0.125,,,,,
2010-05-31,KR,0.7337,32.07,False,0.04396,False,,,False,0.629,0.0,0.034,0.003,0.0348,-0.0374,-0.0013,0.0318,0.2247,KR,0.7941,0.06231,0.0337,Hold,0.0214,-0.00777,0.1124,,,0.1124,,,0.3371,KR,0.7995,0.09616,0.0337,KR,0.7998,0.09324,0.0337,KR,0.3192,0.00337,0.1124,,,,,
2010-06-30,KR,0.8881,34.54,False,0.06446,False,,,False,0.635,0.0,0.0,0.0,0.0359,0.0688,0.0524,0.0359,0.2027,KR,0.9993,0.09872,0.027,KR,0.8899,0.09001,0.1216,,,0.1216,,,0.2703,KR,0.8,0.20562,0.0676,KR,0.8,0.21314,0.0676,KR,0.9939,0.05518,0.1216,,,,,
2010-07-30,KR,0.3473,23.5,False,0.06872,False,,,False,0.369,0.268,0.0,0.0,-0.0094,-0.0474,-0.0284,-0.0094,0.2013,US,-0.2925,-0.01406,0.0336,KR,0.5427,0.0392,0.1208,,,0.1208,,,0.2685,KR,0.7998,0.15554,0.0671,KR,0.9997,0.08678,0.0671,US,-0.2933,-0.03338,0.1208,,,,,
2010-08-31,KR,0.4727,26.05,False,0.07652,False,,,False,0.875,0.0,0.0,0.0,0.0746,0.0876,0.0811,0.0746,0.1537,KR,0.4047,0.05468,0.0615,KR,0.656,0.08246,0.125,KR,0.4001,0.125,KR,0.6599,0.2561,KR,0.4051,0.27517,0.1025,KR,0.5813,0.12122,0.0512,KR,0.2974,0.01386,0.125,,,0.09917,0.08523,
2010-09-30,Neutral,-0.1443,23.7,False,0.06837,False,,,False,0.527,0.348,0.0,0.003,0.0054,0.0369,0.0211,0.0181,0.1674,US,-0.999,-0.07294,0.067,KR,0.5409,0.00719,0.125,US,-0.9758,0.125,KR,0.1961,0.2232,KR,0.4253,0.12853,0.1116,KR,0.4196,0.10503,0.0558,US,-0.7086,-0.01346,0.125,,,-0.04163,0.01767,
2010-10-29,US,-0.3643,21.2,False,0.08284,False,,,False,0.279,0.529,0.067,0.003,0.0115,-0.0023,0.0046,-0.0053,0.1674,US,-0.7981,-0.08973,0.067,Hold,0.0204,0.00419,0.125,US,-0.9697,0.125,US,-0.6017,0.1674,KR,0.32,0.11421,0.1116,KR,0.4,0.13231,0.1116,US,-0.7911,-0.05047,0.125,,,-0.08137,-0.0165,
2010-11-30,Neutral,-0.1134,23.54,False,0.0526,False,,,False,0.468,0.412,0.0,0.003,0.0768,0.0653,0.0711,0.0681,0.1248,US,-0.9648,-0.0467,0.0936,KR,0.8776,0.02469,0.1248,US,-0.9995,0.0374,US,-0.8073,0.1872,KR,0.614,0.05461,0.1872,KR,0.3991,0.07118,0.1248,US,-0.7704,-0.03615,0.1203,,,-0.08398,-0.01853,
