as_of,signal,ws,vix,kr_w,us_w,hold_w,cost,kr_return,us_return,blend_return,strategy_return,pair_0_weight,pair_0_vote,pair_0_score,pair_0_rs,pair_0_macro,pair_1_weight,pair_1_vote,pair_1_score,pair_1_rs,pair_1_macro,pair_2_weight,pair_2_vote,pair_2_score,pair_3_weight,pair_3_vote,pair_3_score,pair_4_weight,pair_4_vote,pair_4_score,pair_4_rs,pair_4_macro,pair_5_weight,pair_5_vote,pair_5_score,pair_5_rs,pair_5_macro,pair_6_weight,pair_6_vote,pair_6_score,pair_6_rs,pair_6_macro,pair_7_weight,pair_7_vote,pair_7_score,pair_2_rs,pair_2_macro,pair_3_rs,pair_3_macro,pair_7_rs,pair_7_macro
2010-02-26,US,-0.3798,19.5,0.125,0.5,0.0,0.0,0.0616,0.0588,0.0602,0.0588,0.125,US,-0.6359,-0.05614,0.0,0.125,US,-0.7605,-0.07369,-0.9926,0.125,,,0.125,,,0.125,KR,0.328,0.01065,0.0,0.125,US,-0.2659,-0.00591,0.0,0.125,US,-0.5648,-0.05132,0.05,0.125,,,,,,,,
2010-03-31,US,-0.1882,17.59,0.25,0.375,0.0,0.0,0.0288,0.0148,0.0218,0.0148,0.125,KR,0.3053,0.04164,0.0,0.125,US,-0.6124,-0.01695,-0.9929,0.125,,,0.125,,,0.125,KR,0.7783,0.0437,0.0,0.125,US,-0.7906,-0.04866,0.0,0.125,US,-0.6217,-0.02091,0.2364,0.125,,,,,,,,
2010-04-30,Neutral,-0.0179,22.05,0.25,0.25,0.125,0.003,-0.0576,-0.082,-0.0698,-0.0728,0.125,KR,0.3921,0.05009,0.0,0.125,US,-0.289,-0.01417,-0.9914,0.125,,,0.125,,,0.125,KR,0.6661,0.04503,0.0,0.125,Hold,-0.0202,-0.0106,0.9354,0.125,US,-0.8387,-0.07099,-0.2022,0.125,,,,,,,,
2010-05-31,KR,0.3634,32.07,0.5,0.125,0.0,0.003,0.0348,-0.0374,-0.0013,0.0318,0.125,KR,0.6357,0.06231,0.0,0.125,US,-0.1463,-0.00777,-0.9879,0.125,,,0.125,,,0.125,KR,0.6397,0.09616,0.0,0.125,KR,0.5668,0.09324,-0.493,0.125,KR,0.1213,0.00337,-0.8358,0.125,,,,,,,,
2010-06-30,KR,0.6372,34.54,0.625,0.0,0.0,0.0,0.0359,0.0688,0.0524,0.0359,0.125,KR,0.7995,0.09872,0.0,0.125,KR,0.5757,0.09001,-0.9823,0.125,,,0.125,,,0.125,KR,0.64,0.20562,0.0,0.125,KR,0.5187,0.21314,-0.9914,0.125,KR,0.652,0.05518,-0.8965,0.125,,,,,,,,
2010-07-30,KR,0.2056,23.5,0.375,0.25,0.0,0.0,-0.0094,-0.0474,-0.0284,-0.0094,0.125,US,-0.2597,-0.01406,0.0,0.125,KR,0.3436,0.0392,-0.9833,0.125,,,0.125,,,0.125,KR,0.6399,0.15554,0.0,0.125,KR,0.6511,0.08678,-0.9579,0.125,US,-0.3467,-0.03338,-0.3364,0.125,,,,,,,,
2010-08-31,KR,0.4182,26.05,0.875,0.0,0.0,0.0,0.0746,0.0876,0.0811,0.0746,0.125,KR,0.402,0.05468,0.0,0.125,KR,0.4246,0.08246,-0.964,0.125,KR,0.4,0.125,KR,0.5732,0.125,KR,0.4034,0.27517,0.0,0.125,KR,0.5446,0.12122,0.1194,0.125,KR,0.1795,0.01386,-0.5406,0.125,,,0.09917,0.0,0.08523,0.0,,
2010-09-30,US,-0.1055,23.7,0.5,0.375,0.0,0.003,0.0054,0.0369,0.0211,0.0339,0.125,US,-0.7992,-0.07294,0.0,0.125,KR,0.2567,0.00719,-0.971,0.125,US,-0.7798,0.125,KR,0.2251,0.125,KR,0.4169,0.12853,0.0,0.125,KR,0.5601,0.10503,0.9402,0.125,US,-0.6186,-0.01346,-0.354,0.125,,,-0.04163,0.0,0.01767,0.0,,
2010-10-29,US,-0.2526,21.2,0.25,0.5,0.125,0.0,0.0115,-0.0023,0.0046,-0.0023,0.125,US,-0.6387,-0.08973,0.0,0.125,Hold,-0.0848,0.00419,-0.9797,0.125,US,-0.7797,0.125,US,-0.4735,0.125,KR,0.32,0.11421,0.0,0.125,KR,0.54,0.13231,0.8668,0.125,US,-0.6517,-0.05047,-0.1194,0.125,,,-0.08137,0.0,-0.0165,0.0,,
2010-11-30,US,-0.1783,23.54,0.375,0.5,0.0,0.0,0.0768,0.0653,0.0711,0.0653,0.125,US,-0.7741,-0.0467,0.0,0.125,KR,0.5468,0.02469,-0.9823,0.125,US,-0.7996,0.125,US,-0.6354,0.125,KR,0.5415,0.05461,0.0,0.125,KR,0.5396,0.07118,0.8717,0.125,US,-0.6671,-0.03615,-0.3399,0.125,,,-0.08398,0.0,-0.01853,0.0,,
2010-12-31,US,-0.4042,17.75,0.125,0.625,0.125,0.0,-0.0002,0.0226,0.0112,0.0226,0.125,US,-0.6226,-0.03994,0.0,0.125,KR,0.1619,0.03176,-0.9908,0.125,US,-0.6798,0.125,US,-0.6399,0.125,US,-0.4569,-0.01445,0.0,0.125,Hold,0.0097,0.00219,0.9354,0.125,US,-0.6015,-0.05553,0.2213,0.125,,,-0.02195,0.0,-0.08896,0.0,,
2011-01-31,US,-0.3349,19.53,0.125,0.625,0.125,0.0,-0.063,0.032,-0.0155,0.032,0.125,US,-0.5149,-0.02464,0.0,0.125,US,-0.7316,-0.03704,-0.9932,0.125,US,-0.7027,0.125,US,-0.7999,0.125,KR,0.7642,0.05399,0.0,0.125,Hold,-0.0122,0.00137,0.9354,0.125,US,-0.3469,-0.06935,0.047,0.125,,,-0.10211,0.0,-0.10416,0.0,,
2011-02-28,US,-0.7035,18.35,0.0,0.875,0.0,0.0,0.0863,-0.001,0.0426,-0.001,0.125,US,-0.7962,-0.11401,0.0,0.125,US,-0.7554,-0.11103,-0.9915,0.125,US,-0.8,0.125,US,-0.64,0.125,US,-0.8,-0.18663,0.0,0.125,US,-0.5189,-0.07485,0.9809,0.125,US,-0.6141,-0.14427,0.1635,0.125,,,-0.1657,0.0,-0.24113,0.0,,
2011-03-31,US,-0.2973,17.74,0.25,0.625,0.0,0.0,0.0407,0.0285,0.0346,0.0285,0.125,US,-0.6115,-0.03567,0.0,0.125,US,-0.4393,-0.00685,-0.9905,0.125,US,-0.6374,0.125,US,-0.64,0.125,KR,0.4206,0.07572,0.0,0.125,KR,0.4311,0.0941,0.8565,0.125,US,-0.6049,-0.09722,0.2222,0.125,,,-0.11736,0.0,-0.11303,0.0,,
2011-04-29,US,-0.2869,14.75,0.25,0.625,0.0,0.0,-0.0228,-0.0135,-0.0181,-0.0135,0.125,US,-0.3507,-0.00513,0.0,0.125,US,-0.1704,0.00471,-0.9912,0.125,US,-0.8,0.125,US,-0.7988,0.125,KR,0.3197,0.08103,0.0,0.125,KR,0.5023,0.1053,0.5649,0.125,US,-0.7103,-0.0874,0.4815,0.125,,,-0.12433,0.0,-0.10796,0.0,,
2011-05-31,US,-0.4503,15.45,0.25,0.625,0.0,0.0,-0.0195,-0.0183,-0.0189,-0.0183,0.125,US,-0.7902,-0.04803,0.0,0.125,US,-0.9422,-0.04918,-0.989,0.125,US,-0.8,0.125,US,-0.6654,0.125,KR,0.32,0.16072,0.0,0.125,KR,0.2997,0.15259,-0.5511,0.125,US,-0.5737,-0.06194,0.426,0.125,,,-0.17652,0.0,-0.02069,0.0,,
2011-06-30,US,-0.27,16.52,0.25,0.625,0.0,0.0,0.0155,-0.0215,-0.003,-0.0215,0.125,US,-0.6385,-0.10844,0.0,0.125,US,-0.2717,0.0003,-0.9915,0.125,US,-0.799,0.125,US,-0.2708,0.125,KR,0.3957,0.04448,0.0,0.125,KR,0.2633,0.09344,-0.8668,0.125,US,-0.5687,-0.02095,0.3346,0.125,,,-0.07665,0.0,-0.0138,0.0,,
2011-07-29,KR,0.197,25.25,0.625,0.125,0.125,0.003,-0.1186,-0.0568,-0.0877,-0.1216,0.125,US,-0.7799,-0.1009,0.0,0.125,KR,0.501,0.04438,-0.9855,0.125,KR,0.4431,0.125,KR,0.7806,0.125,Hold,0.0077,0.00711,0.0,0.125,KR,0.2551,0.07601,-0.9217,0.125,KR,0.1716,0.00307,-0.4815,0.125,,,0.16851,0.0,0.07975,0.0,,
2011-08-31,Neutral,0.0943,31.62,0.5,0.375,0.0,0.003,-0.0588,-0.0718,-0.0653,-0.0683,0.125,US,-0.6063,-0.14641,0.0,0.125,KR,0.4987,0.03762,-0.9661,0.125,KR,0.584,0.125,KR,0.7974,0.125,US,-0.5823,-0.02765,0.0,0.125,KR,0.2768,0.04576,-0.9997,0.125,US,-0.3083,-0.01129,-0.8217,0.125,,,0.04331,0.0,0.06554,0.0,,
