as_of,n_pairs,mean_rs,breadth,breadth_centered,weighted,mean_signal,breadth_signal,weighted_signal,mean_cost,breadth_cost,weighted_cost,kr_return,us_return,mean_strategy,breadth_strategy,weighted_strategy,blend_return
2010-02-26,5,-0.03528,0.2,-0.3,0.02117,US,US,KR,0.0,0.0,0.0,0.0616,0.0588,0.0588,0.0588,0.0616,0.0602
2010-03-31,5,-0.00024,0.4,-0.1,5e-05,US,US,KR,0.0,0.0,0.0,0.0288,0.0148,0.0148,0.0148,0.0288,0.0218
2010-04-30,5,-0.00013,0.4,-0.1,3e-05,US,US,KR,0.0,0.0,0.0,-0.0576,-0.082,-0.082,-0.082,-0.0576,-0.0698
2010-05-31,5,0.04946,0.8,0.3,0.02968,KR,KR,KR,0.003,0.003,0.0,0.0348,-0.0374,0.0318,0.0318,0.0348,-0.0013
2010-06-30,5,0.13253,1.0,0.5,0.13253,KR,KR,KR,0.0,0.0,0.0,0.0359,0.0688,0.0359,0.0359,0.0359,0.0524
2010-07-30,5,0.04682,0.6,0.1,0.00936,KR,KR,KR,0.0,0.0,0.0,-0.0094,-0.0474,-0.0094,-0.0094,-0.0094,-0.0284
2010-08-31,7,0.10454,1.0,0.5,0.10454,KR,KR,KR,0.0,0.0,0.0,0.0746,0.0876,0.0746,0.0746,0.0746,0.0811
2010-09-30,7,0.01863,0.5714,0.0714,0.00266,KR,KR,KR,0.0,0.0,0.0,0.0054,0.0369,0.0054,0.0054,0.0054,0.0211
2010-10-29,7,0.00181,0.4286,-0.0714,-0.00026,KR,KR,KR,0.0,0.0,0.0,0.0115,-0.0023,0.0115,0.0115,0.0115,0.0046
2010-11-30,7,-0.00498,0.4286,-0.0714,0.00071,KR,KR,KR,0.0,0.0,0.0,0.0768,0.0653,0.0768,0.0768,0.0768,0.0711
2010-12-31,7,-0.0267,0.2857,-0.2143,0.01144,US,US,KR,0.003,0.003,0.0,-0.0002,0.0226,0.0196,0.0196,-0.0002,0.0112
2011-01-31,7,-0.04028,0.2857,-0.2143,0.01726,US,US,KR,0.0,0.0,0.0,-0.063,0.032,0.032,0.032,-0.063,-0.0155
2011-02-28,7,-0.14823,0.0,-0.5,0.14823,US,US,KR,0.0,0.0,0.0,0.0863,-0.001,-0.001,-0.001,0.0863,0.0426
2011-03-31,7,-0.02862,0.2857,-0.2143,0.01226,US,US,KR,0.0,0.0,0.0,0.0407,0.0285,0.0285,0.0285,0.0407,0.0346
2011-04-29,7,-0.01911,0.4286,-0.0714,0.00273,US,US,KR,0.0,0.0,0.0,-0.0228,-0.0135,-0.0135,-0.0135,-0.0228,-0.0181
2011-05-31,7,-0.00615,0.2857,-0.2143,0.00264,US,US,KR,0.0,0.0,0.0,-0.0195,-0.0183,-0.0183,-0.0183,-0.0195,-0.0189
2011-06-30,7,-0.01166,0.4286,-0.0714,0.00167,US,US,KR,0.0,0.0,0.0,0.0155,-0.0215,-0.0215,-0.0215,0.0155,-0.003
