axis,param,label,sharpe,cagr,mdd,n,axis_label,is_champion
w_fx,0.0,0.00,0.8,0.1524,-0.2477,179,w_fx,
w_fx,0.05,0.05,0.8,0.1524,-0.2477,179,w_fx,
w_fx,0.1,0.10,0.82,0.158,-0.2477,179,w_fx,
w_fx,0.15,0.15,0.84,0.1613,-0.2477,179,w_fx,
w_fx,0.2,0.20,0.84,0.1613,-0.2477,179,w_fx,
w_fx,0.25,0.25,0.86,0.1653,-0.2477,179,w_fx,
w_fx,0.3,0.30,0.86,0.1653,-0.2477,179,w_fx,
w_fx,0.35,0.35,0.86,0.1653,-0.2477,179,w_fx,
w_fx,0.4,0.40,0.85,0.1627,-0.2477,179,w_fx,
w_fx,0.45,0.45,0.85,0.1627,-0.2477,179,w_fx,
w_fx,0.5,0.50,0.85,0.1627,-0.2477,179,w_fx,
tau,0.005,0.005,0.72,0.1371,-0.2477,179,tau,
tau,0.01,0.010,0.78,0.1486,-0.2477,179,tau,
tau,0.015,0.015,0.81,0.1547,-0.2477,179,tau,
tau,0.02,0.020,0.86,0.1653,-0.2477,179,tau,
tau,0.025,0.025,0.85,0.1627,-0.2477,179,tau,
tau,0.03,0.030,0.83,0.1588,-0.2477,179,tau,
tau,0.035,0.035,0.84,0.1612,-0.2477,179,tau,
lookback,1,1M,0.67,0.1209,-0.3479,179,lookback,
lookback,3,3M,0.73,0.1416,-0.3196,177,lookback,
lookback,6,6M,0.97,0.1829,-0.2477,174,lookback,
lookback,"1,3",1M+3M,0.8,0.1551,-0.3196,179,lookback,
lookback,"3,6",3M+6M,0.87,0.1669,-0.2477,177,lookback,
lookback,"1,3,6",1M+3M+6M (champion),0.86,0.1653,-0.2477,179,lookback,
lookback,"1,3,6,12",1M+3M+6M+12M,0.84,0.1613,-0.2477,179,lookback,
lookback,"2,4,8",2M+4M+8M,0.89,0.1697,-0.2477,178,lookback,
cost,10,10bp,0.87,0.1668,-0.2477,179,cost,
cost,20,20bp,0.87,0.166,-0.2477,179,cost,
cost,30,30bp,0.86,0.1653,-0.2477,179,cost,
cost,40,40bp,0.86,0.1645,-0.2477,179,cost,
cost,50,50bp,0.86,0.1638,-0.2477,179,cost,
cost,60,60bp,0.85,0.163,-0.2477,179,cost,
cost,80,80bp,0.85,0.1615,-0.2477,179,cost,
cost,100,100bp,0.84,0.16,-0.2477,179,cost,
sector,Full 5 pairs,Full 5 pairs,0.76,0.147,-0.3196,179,sector,False
sector,drop IT,drop IT,0.78,0.1495,-0.2477,179,sector,False
sector,drop FIN,drop FIN,0.86,0.1638,-0.2477,179,sector,False
sector,drop ENERGY,drop ENERGY,0.66,0.1267,-0.3196,179,sector,False
sector,drop DISCR,drop DISCR,0.86,0.1653,-0.2477,179,sector,True
sector,drop STAPLES,drop STAPLES,0.78,0.1499,-0.3196,179,sector,False
