name,pairs,lookbacks,agree_rate,disagree_n,hit_rate,combined_cagr,combined_sharpe,combined_mdd,ic,alert_sharpe
4econ (current) × 6M,4,[6],1.0,0,,0.1829,0.97,-0.2477,,0.97
3 defensive+IT × 1+3M,3,"[1, 3]",0.9080459770114943,16,0.4375,0.1729,0.96,-0.2537,-0.34336072519927724,0.85
4econ (current) × 1+3+6M,4,"[1, 3, 6]",0.9425287356321839,10,0.3,0.1794,0.95,-0.2477,-0.15393821265182023,0.86
DISCR+ENERGY × 1+2M,2,"[1, 2]",0.8103448275862069,33,0.42424242424242425,0.1657,0.95,-0.2864,-0.5204071060722668,0.81
3 defensive+IT × 6M,3,[6],0.9367816091954023,11,0.45454545454545453,0.1784,0.95,-0.2477,-0.16952499026395543,0.93
3 defensive+IT × 1M,3,[1],0.7988505747126436,35,0.42857142857142855,0.1717,0.95,-0.2705,-0.35781980832491095,0.83
4econ (current) × 1+2M,4,"[1, 2]",0.8390804597701149,28,0.35714285714285715,0.1715,0.95,-0.2728,-0.30525128440792193,0.84
Full 5 × 1+2M,5,"[1, 2]",0.8505747126436781,26,0.34615384615384615,0.17,0.94,-0.2864,-0.3887091212701888,0.82
DISCR+ENERGY × 1+3+6M,2,"[1, 3, 6]",0.9252873563218391,13,0.3076923076923077,0.176,0.94,-0.2659,-0.3120448363857035,0.83
3 defensive+IT × 1+2M,3,"[1, 2]",0.8505747126436781,26,0.34615384615384615,0.169,0.94,-0.2864,-0.33467298197822004,0.82
3 defensive+IT × 1+3+6M,3,"[1, 3, 6]",0.9367816091954023,11,0.36363636363636365,0.1762,0.94,-0.2477,-0.1337741660937352,0.84
DISCR+ENERGY × 1+2+3M,2,"[1, 2, 3]",0.8563218390804598,25,0.36,0.1638,0.93,-0.2864,-0.5452380560771185,0.77
Full 5 × 6M,5,[6],0.9367816091954023,11,0.36363636363636365,0.1754,0.93,-0.2477,0.06960783907207654,0.9
4 w/ DISCR × 1+2M,4,"[1, 2]",0.8563218390804598,25,0.32,0.167,0.92,-0.2864,-0.44645634644880616,0.79
4econ (current) × 1+3M,4,"[1, 3]",0.8390804597701149,28,0.35714285714285715,0.1726,0.92,-0.2864,-0.07476834440976461,0.8
3 defensive+IT × 3M,3,[3],0.8620689655172413,24,0.375,0.1725,0.92,-0.2477,-0.04556972449173592,0.84
3 defensive+IT × 2+3M,3,"[2, 3]",0.8793103448275862,21,0.3333333333333333,0.1725,0.92,-0.2477,0.10232733718333027,0.83
3 defensive+IT × 2M,3,[2],0.8333333333333334,29,0.3448275862068966,0.1652,0.92,-0.2477,-0.14172888546606183,0.81
DISCR+ENERGY × 6M,2,[6],0.9137931034482759,15,0.13333333333333333,0.1729,0.92,-0.2477,-0.16631768502988784,0.88
3 defensive+IT × 1+2+3M,3,"[1, 2, 3]",0.8620689655172413,24,0.2916666666666667,0.1657,0.92,-0.2477,-0.14379621306877577,0.78
4 w/ DISCR × 1+3+6M,4,"[1, 3, 6]",0.9137931034482759,15,0.2,0.171,0.91,-0.2864,-0.38154718202137494,0.78
DISCR+ENERGY × 2+3M,2,"[2, 3]",0.8275862068965517,30,0.4,0.161,0.91,-0.2666,-0.4031612877469952,0.77
DISCR+ENERGY × 1+3M,2,"[1, 3]",0.8735632183908046,22,0.3181818181818182,0.165,0.91,-0.2864,-0.5642067867865099,0.76
3 cyclical × 1+3+6M,3,"[1, 3, 6]",0.8218390804597702,31,0.3548387096774194,0.1692,0.9,-0.2864,-0.37407705180563294,0.75
Full 5 × 1+3+6M,5,"[1, 3, 6]",0.9022988505747126,17,0.23529411764705882,0.1697,0.9,-0.2864,-0.28980510831371953,0.76
Full 5 × 2M,5,[2],0.8160919540229885,32,0.34375,0.1705,0.9,-0.2864,-0.03475932758763364,0.79
4 w/ DISCR × 6M,4,[6],0.8735632183908046,22,0.22727272727272727,0.1688,0.9,-0.2477,-0.13510592917130843,0.83
IT+DISCR only × 1+2M,2,"[1, 2]",0.7068965517241379,51,0.39215686274509803,0.161,0.9,-0.2553,-0.27819474897883534,0.74
DISCR+ENERGY × 3M,2,[3],0.8793103448275862,21,0.2857142857142857,0.1645,0.9,-0.2854,-0.32932708081828077,0.76
IT+DISCR only × 3M,2,[3],0.735632183908046,46,0.3695652173913043,0.1696,0.9,-0.2658,-0.4442576887128105,0.8
4econ (current) × 2+3M,4,"[2, 3]",0.867816091954023,23,0.2608695652173913,0.1685,0.89,-0.2864,0.07998511464496738,0.78
3 cyclical × 3M,3,[3],0.7816091954022989,38,0.2894736842105263,0.1665,0.89,-0.2658,-0.45158109647490885,0.75
4econ (current) × 2M,4,[2],0.8045977011494253,34,0.35294117647058826,0.1672,0.89,-0.2728,0.05339466706917741,0.77
4econ (current) × 1+2+3M,4,"[1, 2, 3]",0.867816091954023,23,0.2608695652173913,0.1685,0.89,-0.2864,0.04602638414289755,0.76
IT+DISCR only × 1+3M,2,"[1, 3]",0.7988505747126436,35,0.37142857142857144,0.1685,0.89,-0.2864,-0.2900557902365939,0.74
DISCR+ENERGY × 2M,2,[2],0.7931034482758621,36,0.3611111111111111,0.1563,0.89,-0.2676,-0.4194493782555863,0.73
IT+DISCR only × 1+3+6M,2,"[1, 3, 6]",0.8218390804597702,31,0.3225806451612903,0.167,0.89,-0.2864,-0.3990552291911922,0.73
Full 5 × 1M,5,[1],0.7701149425287356,40,0.375,0.1604,0.88,-0.3024,-0.46490108815505016,0.71
3 cyclical × 6M,3,[6],0.8103448275862069,33,0.3333333333333333,0.1647,0.88,-0.2792,-0.31269886638141686,0.78
IT+DISCR only × 6M,2,[6],0.8103448275862069,33,0.30303030303030304,0.1619,0.88,-0.2792,-0.23803784555463872,0.77
Full 5 × 3M,5,[3],0.8620689655172413,24,0.20833333333333334,0.1641,0.87,-0.2864,-0.4691079448183495,0.73
4 w/ DISCR × 1+3M,4,"[1, 3]",0.8448275862068966,27,0.2962962962962963,0.1645,0.87,-0.2864,-0.3180371169959369,0.72
4econ (current) × 3M,4,[3],0.8333333333333334,29,0.2413793103448276,0.1636,0.87,-0.2864,-0.14473919775805988,0.73
Full 5 × 1+3M,5,"[1, 3]",0.8735632183908046,22,0.18181818181818182,0.1634,0.87,-0.2864,-0.33233643344779823,0.71
4 w/ DISCR × 2M,4,[2],0.8045977011494253,34,0.29411764705882354,0.1638,0.87,-0.2864,-0.1303301190072524,0.75
3 cyclical × 1M,3,[1],0.6724137931034483,57,0.40350877192982454,0.1574,0.87,-0.2938,-0.4436696835724818,0.68
4 w/ DISCR × 3M,4,[3],0.8735632183908046,22,0.22727272727272727,0.1638,0.87,-0.2864,-0.5180252181779422,0.73
3 cyclical × 2+3M,3,"[2, 3]",0.7816091954022989,38,0.3157894736842105,0.1637,0.87,-0.2864,-0.41639254519859376,0.73
IT+DISCR only × 2+3M,2,"[2, 3]",0.7988505747126436,35,0.3142857142857143,0.1622,0.87,-0.2864,-0.3526097808794324,0.72
4econ (current) × 1M,4,[1],0.7413793103448276,45,0.35555555555555557,0.1544,0.86,-0.3024,-0.3662579652039971,0.67
3 cyclical × 2M,3,[2],0.7528735632183908,43,0.32558139534883723,0.1593,0.86,-0.2553,-0.2026676914883405,0.7
4 w/ DISCR × 2+3M,4,"[2, 3]",0.8505747126436781,26,0.23076923076923078,0.1619,0.86,-0.2864,-0.3512427541168575,0.72
4 w/ DISCR × 1+2+3M,4,"[1, 2, 3]",0.8620689655172413,24,0.20833333333333334,0.1634,0.86,-0.2864,-0.376318574659062,0.71
Full 5 × 2+3M,5,"[2, 3]",0.8620689655172413,24,0.16666666666666666,0.1623,0.86,-0.2864,-0.34743224143480705,0.7
Full 5 × 1+2+3M,5,"[1, 2, 3]",0.8505747126436781,26,0.19230769230769232,0.1629,0.86,-0.2864,-0.3344788797229903,0.7
3 cyclical × 1+2+3M,3,"[1, 2, 3]",0.7701149425287356,40,0.325,0.1623,0.86,-0.2864,-0.32381860975125903,0.68
IT+DISCR only × 1+2+3M,2,"[1, 2, 3]",0.7701149425287356,40,0.3,0.1543,0.85,-0.2864,-0.19448340604668443,0.65
3 cyclical × 1+2M,3,"[1, 2]",0.7758620689655172,39,0.3076923076923077,0.1553,0.85,-0.2864,-0.3115490485622185,0.66
3 cyclical × 1+3M,3,"[1, 3]",0.7873563218390804,37,0.2972972972972973,0.1617,0.85,-0.2864,-0.3465139595482021,0.68
4 w/ DISCR × 1M,4,[1],0.764367816091954,41,0.36585365853658536,0.1531,0.84,-0.3275,-0.5381980309431371,0.64
IT+DISCR only × 2M,2,[2],0.6896551724137931,54,0.37037037037037035,0.1562,0.84,-0.2553,-0.26048580313928427,0.67
DISCR+ENERGY × 1M,2,[1],0.6896551724137931,54,0.42592592592592593,0.1449,0.83,-0.3275,-0.46318944432042475,0.59
IT+DISCR only × 1M,2,[1],0.6609195402298851,59,0.423728813559322,0.1489,0.82,-0.2938,-0.41231212101918413,0.61
